Creation Date (Calendar),MMS Id,Title,Author,Author (contributor),ISBN,ISBN13,Reporting Code - 1st,Acquisition Method,Acquisition Method Description,Format,PO Line Type Name,Source Type,Fund Type,Parent Fund Name,Fund Code,Fund Name,Campus Name,Library Name,Location Code,Location Name,Permanent Call Number,Receiving Status,Receiving Date (Latest in POL),Status,Status (Active)
07/03/2023,9952346552801401,Marketing recorded music : how music companies brand and market artists /,"Donham, Tammy, author.","Macy, Amy, author.; Rolston, Clyde, author.",1003153518; 9781003153511; 9780367693947; 0367693941; 100058500X; 9781000585001; 100058514X; 9781000585148; 9780367721176; 0367721171,9781003153511,Music,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
07/06/2023,9952347252401401,W.E.B. Du Bois's data portraits : visualizing Black America : the color line at the turn of the twentieth century /,"Du Bois, W. E. B. 1868-1963, author. (William Edward Burghardt),","Rusert, Britt, editor.; Battle-Baptiste, Whitney, editor.",1616897775; 9781616897772; 9781616897062; 1616897066,9781616897772,Data Science,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
07/06/2023,9952347252501401,Visual grammar /,"Leborg, Christian.",,1568988486; 9781568988481; 1568985819; 9781568985817,9781568988481,Architecture,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
07/06/2023,9952347252601401,The landscape urbanism reader /,,"Waldheim, Charles.",1568989490; 9781568989495; 9781568984391; 1568984391,9781568989495,Architecture,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
07/06/2023,9952347252701401,Student Engagement in Higher Education : Theoretical Perspectives and Practical Approaches for Diverse Populations /,,"Pendakur, Sumun L., editor.; Harper, Shaun R., 1975- editor.; Quaye, Stephen John, 1980- editor.",0429400691; 9780429400698; 0429683464; 9780429683466; 0429683448; 9780429683442; 0429683456; 9780429683459; 9780367002244; 0367002248; 9780367002220; 0367002221,9780429400698,Education,VENDOR_SYSTEM,Purchase at Vendor System,E,Electronic Book - One Time,RIALTO,Allocated fund,Reserve,3114,3114-Reserve,,,,,,Yes,00/00/0,CLOSED,Closed
07/10/2023,9952347852701401,Another day in the death of America : a chronicle of ten short lives /,"Younge, Gary, author.",,9781568589930; 156858993X,9781568589930,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,HN90.V5 Y675 2018,Yes,07/11/2023,CLOSED,Closed
07/10/2023,9952347852801401,Violence : the enduring problem /,"Alvarez, Alex, author.","Bachman, Ronet, author.",1544355653; 9781544355658; 9781544355665; 1544355661; 9781544355672; 154435567X; 9781544355689; 1544355688,9781544355658,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,f,Books,Law Campus,School of Law Library,lstk,Stacks,HN90.V5 A58 2021,Yes,07/11/2023,CLOSED,Closed
07/11/2023,9952348352601401,Landesman's public health management of disasters : the practice guide /,"Landesman, Linda Young, author.","Piltch-Loeb, Rachael, contributor.; Merdjanoff, Alexis A., author.; Gebbie. Eric N., author.; Gershon, Robyn R., author.",0875533213; 9780875533216; 9780875533223; 0875533221,9780875533216,Reference,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Firm Orders,nu-rf,nu-rf-Reference,Snell Campus,Snell Library,srstk,Reference Stacks,RA645.9 .L36 2021,Yes,07/18/2023,CLOSED,Closed
07/12/2023,9952348752801401,Unified design of steel structures /,"Geschwindner, Louis F., 1945- author.","Carter, Charles J., author.; Liu, Judy, author.",9798351317908,9798351317908,Civil/Environmental Engineering,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Reserve,3114,3114-Reserve,Snell Campus,Snell Library,slstk,Stacks,TA684 .G383 2023,Yes,07/18/2023,CLOSED,Closed
07/12/2023,9952348851401401,Criminal law /,"LaFave, Wayne R., author.","Ohlin, Jens David, author.",1685612334; 9781685612337; 1640201483; 9781640201484,9781685612337,Default,VENDOR_SYSTEM,Purchase at Vendor System,P,Print Book - One Time,MANUALENTRY,Allocated fund,Materials,cu,Books - Continuations,Law Campus,School of Law Library,lstk,Stacks,KF9219 .L38 2023,Yes,07/12/2023,CLOSED,Closed
